"id","company","type_name","inches","screen_resolution","cpu","ram_gb","total_memory","gpu","operating_system","weight_kg","price","cpu_speed_GHz","ssd_memory","hdd_memory","flash_memory"
18,"Apple","Ultrabook",15.4,"IPS Panel Retina Display 2880x1800","Intel Core i7 2.9GHz",16,"512GB SSD","AMD Radeon Pro 560","macOS",1.83,152274.24,2.9,"512GB SSD","",""
19,"Lenovo","Notebook",15.6,"Full HD 1920x1080","Intel Core i3 7100U 2.4GHz",8,"1TB HDD","Nvidia GeForce 940MX","",2.2,26586.72,2.4,"","1TB HDD",""
20,"Dell","Ultrabook",13.3,"IPS Panel Full HD / Touchscreen 1920x1080","Intel Core i5 8250U 1.6GHz",8,"128GB SSD","Intel UHD Graphics 620","Windows 10",1.22,52161.12,1.6,"128GB SSD","",""
22,"Lenovo","Gaming",15.6,"IPS Panel Full HD 1920x1080","Intel Core i5 7300HQ 2.5GHz",8,"128GB SSD +  1TB HDD","Nvidia GeForce GTX 1050","Windows 10",2.5,53226.72,2.5,"128GB SSD","1TB HDD",""
23,"HP","Notebook",15.6,"1366x768","AMD E-Series E2-9000e 1.5GHz",4,"500GB HDD","AMD Radeon R2","",1.86,13746.24,1.5,"","500GB HDD",""
24,"Dell","2 in 1 Convertible",13.3,"Full HD / Touchscreen 1920x1080","Intel Core i5 8250U 1.6GHz",8,"256GB SSD","Intel UHD Graphics 620","Windows 10",1.62,43636.32,1.6,"256GB SSD","",""
25,"HP","Ultrabook",15.6,"Full HD 1920x1080","Intel Core i7 8550U 1.8GHz",8,"256GB SSD","Intel HD Graphics 620","Windows 10",1.91,35111.52,1.8,"256GB SSD","",""
26,"Dell","Notebook",15.6,"1366x768","Intel Core i3 6006U 2GHz",4,"1TB HDD","Intel HD Graphics 520","Windows 10",2.3,22305.1392,2.0,"","1TB HDD",""
27,"Apple","Ultrabook",13.3,"1440x900","Intel Core i5 1.6GHz",8,"128GB Flash Storage","Intel HD Graphics 6000","Mac OS X",1.35,58554.72,1.6,"","","128GB Flash Storage"
28,"Dell","Notebook",15.6,"Full HD 1920x1080","Intel Core i5 8250U 1.6GHz",8,"256GB SSD","AMD Radeon 530","Windows 10",2.2,42624.0,1.6,"256GB SSD","",""
29,"Dell","Ultrabook",15.6,"Full HD 1920x1080","Intel Core i7 8650U 1.9GHz",8,"256GB SSD +  256GB SSD","Intel UHD Graphics 620","Windows 10",1.88,69157.44,1.9,"256GB SSD +  256GB SSD","",""
30,"HP","Notebook",17.3,"Full HD 1920x1080","Intel Core i5 8250U 1.6GHz",8,"1TB HDD","Nvidia GeForce 930MX","Windows 10",2.5,47738.88,1.6,"","1TB HDD",""
31,"Chuwi","Notebook",15.6,"Full HD 1920x1080","Intel Atom x5-Z8300 1.44GHz",4,"64GB Flash Storage","Intel HD Graphics","Windows 10",1.89,13053.0672,1.44,"","","64GB Flash Storage"
32,"Asus","Notebook",14.0,"1366x768","AMD E-Series E2-6110 1.5GHz",2,"32GB Flash Storage","AMD Radeon R2","Windows 10",1.65,10602.72,1.5,"","","32GB Flash Storage"
33,"HP","Notebook",17.3,"Full HD 1920x1080","AMD A6-Series 9220 2.5GHz",4,"500GB HDD","AMD Radeon 530","Windows 10",2.71,23389.92,2.5,"","500GB HDD",""
34,"Dell","Ultrabook",13.3,"Touchscreen / Quad HD+ 3200x1800","Intel Core i7 8550U 1.8GHz",16,"512GB SSD","Intel UHD Graphics 620","Windows 10",1.2,99580.32,1.8,"512GB SSD","",""
35,"Apple","Ultrabook",13.3,"1440x900","Intel Core i5 1.6GHz",8,"256GB Flash Storage","Intel HD Graphics 6000","Mac OS X",1.35,53173.44,1.6,"","","256GB Flash Storage"
36,"Lenovo","Notebook",14.0,"1366x768","Intel Celeron Dual Core N3350 1.1GHz",4,"64GB Flash Storage","Intel HD Graphics 500","Windows 10",1.44,13266.72,1.1,"","","64GB Flash Storage"
37,"Acer","Notebook",15.6,"1366x768","Intel Core i3 7130U 2.7GHz",4,"1TB HDD","Intel HD Graphics 620","Linux",2.1,19553.76,2.7,"","1TB HDD",""
38,"Dell","Notebook",17.3,"IPS Panel Full HD 1920x1080","Intel Core i5 8250U 1.6GHz",8,"128GB SSD +  1TB HDD","AMD Radeon 530","Windows 10",2.8,52161.12,1.6,"128GB SSD","1TB HDD",""
39,"HP","Notebook",15.6,"1366x768","Intel Core i5 7200U 2.5GHz",4,"1TB HDD","Intel HD Graphics 620","Windows 10",1.86,26037.4032,2.5,"","1TB HDD",""
40,"HP","Notebook",15.6,"Full HD 1920x1080","Intel Core i5 8250U 1.6GHz",8,"256GB SSD","Nvidia GeForce 930MX ","Windows 10",2.1,46833.12,1.6,"256GB SSD","",""
41,"Asus","Notebook",15.6,"Full HD 1920x1080","Intel Core i3 6006U 2GHz",4,"1TB HDD","Intel HD Graphics 620","Linux",2.0,20725.92,2.0,"","1TB HDD",""
42,"Dell","Gaming",15.6,"IPS Panel Full HD 1920x1080","Intel Core i7 7700HQ 2.8GHz",16,"256GB SSD +  1TB HDD","Nvidia GeForce GTX 1060","Windows 10",2.65,79866.72,2.8,"256GB SSD","1TB HDD",""
43,"Asus","Notebook",15.6,"1366x768","Intel Core i5 7200U 2.5GHz",8,"1TB HDD","Nvidia GeForce 940MX","Linux",2.3,27864.9072,2.5,"","1TB HDD",""
44,"Acer","Notebook",15.6,"IPS Panel Full HD 1920x1080","Intel Core i5 8250U 1.6GHz",4,"256GB SSD","Intel UHD Graphics 620","Windows 10",2.2,36336.96,1.6,"256GB SSD","",""
45,"Dell","2 in 1 Convertible",17.3,"Full HD / Touchscreen 1920x1080","Intel Core i5 8250U 1.6GHz",12,"1TB HDD","Nvidia GeForce 150MX","Windows 10",2.77,53226.72,1.6,"","1TB HDD",""
46,"Apple","Ultrabook",13.3,"IPS Panel Retina Display 2560x1600","Intel Core i5 2.0GHz",8,"256GB SSD","Intel Iris Graphics 540","macOS",1.37,75604.32,2.0,"256GB SSD","",""
48,"Asus","Gaming",17.3,"Full HD 1920x1080","AMD Ryzen 1700 3GHz",8,"256GB SSD +  1TB HDD","AMD Radeon RX 580","Windows 10",3.2,69210.72,3.0,"256GB SSD","1TB HDD",""
49,"Dell","Notebook",15.6,"Full HD 1920x1080","Intel Core i5 7200U 2.5GHz",4,"256GB SSD","AMD Radeon R5 M430","Windows 10",2.3,34045.92,2.5,"256GB SSD","",""
50,"Asus","Notebook",17.3,"1366x768","Intel Pentium Quad Core N4200 1.1GHz",4,"1TB HDD","Nvidia GeForce 920MX","Windows 10",2.8,24828.48,1.1,"","1TB HDD",""
52,"Acer","Notebook",15.6,"IPS Panel Full HD 1920x1080","Intel Core i7 8550U 1.8GHz",8,"256GB SSD","Nvidia GeForce MX150","Windows 10",2.2,44808.48,1.8,"256GB SSD","",""
53,"HP","Notebook",15.6,"Full HD 1920x1080","AMD A6-Series 9220 2.5GHz",4,"256GB SSD","AMD Radeon R4 Graphics","Windows 10",1.86,21231.5472,2.5,"256GB SSD","",""
54,"HP","Notebook",13.3,"Full HD 1920x1080","Intel Core i7 8550U 1.8GHz",8,"512GB SSD","Intel UHD Graphics 620","Windows 10",1.49,58767.84,1.8,"512GB SSD","",""
55,"Acer","Notebook",15.6,"1366x768","Intel Core i3 7100U 2.4GHz",4,"1TB HDD","Intel HD Graphics 620","Windows 10",2.4,20459.52,2.4,"","1TB HDD",""
56,"Dell","Notebook",15.6,"Full HD 1920x1080","Intel Core i7 8550U 1.8GHz",8,"256GB SSD","AMD Radeon 520","Windows 10",2.13,40908.384,1.8,"256GB SSD","",""
57,"HP","Notebook",15.6,"Full HD 1920x1080","Intel Core i3 6006U 2GHz",4,"128GB SSD","Intel HD Graphics 520","Windows 10",1.91,23389.92,2.0,"128GB SSD","",""
58,"Asus","Notebook",15.6,"1366x768","Intel Core i5 7200U 2.5GHz",4,"256GB SSD","Intel HD Graphics 620","Windows 10",2.0,31232.2032,2.5,"256GB SSD","",""
59,"MSI","Gaming",17.3,"Full HD 1920x1080","Intel Core i7 7700HQ 2.8GHz",16,"256GB SSD +  2TB HDD","Nvidia GeForce GTX 1070","Windows 10",2.43,130482.72,2.8,"256GB SSD","2TB HDD",""
60,"Asus","Notebook",15.6,"Full HD 1920x1080","Intel Core i3 6006U 2GHz",4,"256GB SSD","Intel HD Graphics 520","Linux",2.0,22111.2,2.0,"256GB SSD","",""
61,"Dell","Notebook",17.3,"Full HD 1920x1080","Intel Core i7 8550U 1.8GHz",16,"256GB SSD +  2TB HDD","AMD Radeon 530","Windows 10",2.8,69210.72,1.8,"256GB SSD","2TB HDD",""
62,"Dell","Ultrabook",14.0,"Full HD 1920x1080","Intel Core i5 8250U 1.6GHz",8,"256GB SSD","Intel UHD Graphics 620","Windows 10",1.7,46833.12,1.6,"256GB SSD","",""
63,"Lenovo","Notebook",14.0,"IPS Panel Full HD 1920x1080","Intel Core i3 7130U 2.7GHz",8,"256GB SSD","Intel HD Graphics 620","",1.7,31914.72,2.7,"256GB SSD","",""
64,"Asus","Notebook",14.0,"Full HD 1920x1080","Intel Core i5 8250U 1.6GHz",8,"256GB SSD","Intel UHD Graphics 620","Windows 10",1.4,50136.48,1.6,"256GB SSD","",""
65,"HP","Notebook",15.6,"Full HD 1920x1080","Intel Core i5 7200U 2.5GHz",8,"256GB SSD","Intel HD Graphics 620","Windows 10",1.86,36763.2,2.5,"256GB SSD","",""
66,"Asus","Ultrabook",15.6,"Full HD 1920x1080","Intel Core i7 7700HQ 2.8GHz",16,"512GB SSD","Nvidia GeForce GTX 1050 Ti","Windows 10",1.8,105654.24,2.8,"512GB SSD","",""
67,"HP","Notebook",15.6,"1366x768","Intel Core i3 6006U 2GHz",4,"500GB HDD","AMD Radeon 520","Windows 10",1.86,23373.4032,2.0,"","500GB HDD",""
68,"HP","Notebook",14.0,"1366x768","Intel Celeron Dual Core N3060 1.6GHz",4,"32GB SSD","Intel HD Graphics 400","Windows 10",1.44,12201.12,1.6,"32GB SSD","",""
69,"Lenovo","Notebook",15.6,"Full HD 1920x1080","Intel Core i5 7200U 2.5GHz",4,"1TB HDD","Intel HD Graphics 620","Windows 10",1.9,29250.72,2.5,"","1TB HDD",""
70,"Asus","Gaming",17.3,"Full HD 1920x1080","Intel Core i7 7700HQ 2.8GHz",12,"1TB HDD","Nvidia GeForce GTX 1050 Ti","Linux",3.0,50562.72,2.8,"","1TB HDD",""
71,"Microsoft","Ultrabook",13.5,"Touchscreen 2256x1504","Intel Core i5 7200U 2.5GHz",4,"128GB SSD","Intel HD Graphics 620","Windows 10 S",1.252,58021.92,2.5,"128GB SSD","",""
72,"Dell","Ultrabook",13.3,"IPS Panel Full HD 1920x1080","Intel Core i7 8550U 1.8GHz",64,"256GB SSD","AMD Radeon 530","Windows 10",1.4,50882.4,1.8,"256GB SSD","",""
73,"Dell","Notebook",15.6,"Full HD 1920x1080","Intel Core i7 8550U 1.8GHz",8,"256GB SSD","AMD Radeon 530","Windows 10",2.2,46353.6,1.8,"256GB SSD","",""
74,"MSI","Gaming",17.3,"Full HD 1920x1080","Intel Core i5 7300HQ 2.5GHz",8,"128GB SSD +  1TB HDD","Nvidia GeForce GTX 1050","Windows 10",2.7,58341.6,2.5,"128GB SSD","1TB HDD",""
75,"Acer","Notebook",14.0,"1366x768","Intel Core i3 6006U 2GHz",8,"1TB HDD","Intel HD Graphics 520","Windows 10",2.1,20725.92,2.0,"","1TB HDD",""
76,"Asus","Gaming",15.6,"Full HD 1920x1080","Intel Core i7 7700HQ 2.8GHz",8,"1TB HDD","Nvidia GeForce GTX 1050","Windows 10",2.2,50562.72,2.8,"","1TB HDD",""
77,"Lenovo","Notebook",15.6,"Full HD 1920x1080","Intel Core i5 7200U 2.5GHz",8,"2TB HDD","Intel HD Graphics 620","",2.2,27652.32,2.5,"","2TB HDD",""
78,"Dell","Notebook",15.6,"Full HD 1920x1080","Intel Core i7 8550U 1.8GHz",8,"128GB SSD +  1TB HDD","Intel UHD Graphics 620","Windows 10",2.02,45554.4,1.8,"128GB SSD","1TB HDD",""
79,"Acer","Notebook",15.6,"Full HD 1920x1080","Intel Core i3 7130U 2.7GHz",4,"1TB HDD","Nvidia GeForce MX130","Windows 10",2.2,28238.4,2.7,"","1TB HDD",""
80,"HP","Notebook",17.3,"Full HD 1920x1080","Intel Core i5 8250U 1.6GHz",8,"128GB SSD +  1TB HDD","Nvidia GeForce 930MX","Windows 10",2.5,52054.56,1.6,"128GB SSD","1TB HDD",""
81,"Dell","Ultrabook",15.6,"IPS Panel Full HD 1920x1080","Intel Core i5 8250U 1.6GHz",8,"256GB SSD","Intel UHD Graphics 620","Windows 10",1.88,58403.4048,1.6,"256GB SSD","",""
82,"Apple","Ultrabook",12.0,"IPS Panel Retina Display 2304x1440","Intel Core i5 1.3GHz",8,"512GB SSD","Intel HD Graphics 615","macOS",0.92,80452.8,1.3,"512GB SSD","",""
83,"HP","Notebook",14.0,"Full HD 1920x1080","Intel Core i5 8250U 1.6GHz",8,"256GB SSD","Intel HD Graphics 620","Windows 10",1.63,45820.8,1.6,"256GB SSD","",""
84,"Lenovo","Notebook",15.6,"Full HD 1920x1080","AMD A6-Series 9220 2.5GHz",4,"128GB SSD","AMD R4 Graphics","Windows 10",2.2,21258.72,2.5,"128GB SSD","",""
85,"Acer","Notebook",15.6,"1366x768","AMD A9-Series 9420 3GHz",4,"1TB HDD","AMD Radeon R5","Windows 10",2.1,21045.6,3.0,"","1TB HDD",""
86,"Dell","Gaming",15.6,"IPS Panel Full HD 1920x1080","Intel Core i7 7700HQ 2.8GHz",16,"128GB SSD +  1TB HDD","Nvidia GeForce GTX 1050 Ti","Windows 10",2.65,71874.72,2.8,"128GB SSD","1TB HDD",""
87,"HP","Ultrabook",15.6,"IPS Panel Full HD 1920x1080","Intel Core i7 8550U 1.8GHz",8,"256GB SSD","Nvidia GeForce GTX 940MX","Windows 10",1.83,37242.72,1.8,"256GB SSD","",""
88,"HP","Notebook",15.6,"Full HD 1920x1080","Intel Core i5 7200U 2.5GHz",8,"256GB SSD","Intel HD Graphics 620","Windows 10",1.96,31914.1872,2.5,"256GB SSD","",""
89,"Asus","Gaming",15.6,"IPS Panel Full HD 1920x1080","Intel Core i7 7700HQ 2.8GHz",16,"128GB SSD +  1TB HDD","Nvidia GeForce GTX 1060","Windows 10",2.2,77202.72,2.8,"128GB SSD","1TB HDD",""
90,"Dell","Ultrabook",13.3,"IPS Panel Full HD 1920x1080","Intel Core i7 8550U 1.8GHz",8,"256GB SSD","Intel UHD Graphics 620","Windows 10",1.21,87858.72,1.8,"256GB SSD","",""
91,"Asus","Gaming",15.6,"Full HD 1920x1080","AMD FX 9830P 3GHz",8,"1TB HDD","AMD Radeon RX 560","Windows 10",2.45,37242.72,3.0,"","1TB HDD",""
92,"Acer","Notebook",15.6,"Full HD 1920x1080","Intel Core i7 8550U 1.8GHz",2,"1TB HDD","Nvidia GeForce MX150","Windows 10",2.2,36709.92,1.8,"","1TB HDD",""
93,"HP","Notebook",13.3,"Full HD 1920x1080","Intel Core i7 8550U 1.8GHz",16,"512GB SSD","Intel UHD Graphics 620","Windows 10",1.49,63776.16,1.8,"512GB SSD","",""
94,"Dell","Gaming",15.6,"Full HD 1920x1080","Intel Core i5 7300HQ 2.5GHz",8,"256GB SSD","Nvidia GeForce GTX 1060","Windows 10",2.65,63669.6,2.5,"256GB SSD","",""
95,"Asus","Ultrabook",14.0,"Full HD 1920x1080","Intel Core i7 7500U 2.7GHz",8,"256GB SSD","Intel HD Graphics 620","Windows 10",1.25,55890.72,2.7,"256GB SSD","",""
96,"Acer","2 in 1 Convertible",13.3,"IPS Panel Full HD / Touchscreen 1920x1080","Intel Core i5 8250U 1.6GHz",8,"256GB SSD","Intel UHD Graphics 620","Windows 10",1.5,45128.16,1.6,"256GB SSD","",""
97,"Dell","Notebook",15.6,"Full HD 1920x1080","Intel Core i7 7500U 2.7GHz",8,"1TB HDD","AMD Radeon R5 M430","Linux",2.2,31962.672,2.7,"","1TB HDD",""
98,"Dell","Notebook",15.6,"Full HD 1920x1080","Intel Core i3 6006U 2GHz",4,"256GB SSD","AMD Radeon R5 M430","Linux",2.2,25840.8,2.0,"256GB SSD","",""
99,"Asus","Notebook",15.6,"Full HD 1920x1080","Intel Core i3 7100U 2.4GHz",6,"256GB SSD","Nvidia GeForce 920M","Windows 10",2.0,30742.56,2.4,"256GB SSD","",""
100,"HP","Gaming",15.6,"IPS Panel Full HD 1920x1080","Intel Core i7 7700HQ 2.8GHz",12,"128GB SSD +  1TB HDD","Nvidia GeForce GTX 1050","Windows 10",2.62,66546.72,2.8,"128GB SSD","1TB HDD",""
101,"HP","Notebook",15.6,"Full HD 1920x1080","Intel Core i7 7500U 2.7GHz",8,"256GB SSD","AMD Radeon 530","Windows 10",1.91,38308.32,2.7,"256GB SSD","",""
102,"HP","Notebook",15.6,"Full HD 1920x1080","AMD E-Series E2-9000e 1.5GHz",4,"500GB HDD","AMD Radeon R2","Windows 10",2.1,18594.72,1.5,"","500GB HDD",""
103,"Dell","Notebook",15.6,"Full HD 1920x1080","Intel Core i5 8250U 1.6GHz",8,"1TB HDD","AMD Radeon 520","Linux",2.2,34472.16,1.6,"","1TB HDD",""
104,"HP","Ultrabook",13.3,"IPS Panel Full HD 1920x1080","Intel Core i7 7500U 2.7GHz",8,"256GB SSD","Nvidia GeForce MX150","Windows 10",1.38,59620.32,2.7,"256GB SSD","",""
105,"Microsoft","Ultrabook",13.5,"Touchscreen 2256x1504","Intel Core i5 7200U 2.5GHz",8,"256GB SSD","Intel HD Graphics 620","Windows 10 S",1.252,71395.2,2.5,"256GB SSD","",""
106,"HP","Notebook",14.0,"IPS Panel Full HD 1920x1080","Intel Core i5 7200U 2.5GHz",6,"256GB SSD","Nvidia GeForce 940MX","Windows 10",1.58,35111.52,2.5,"256GB SSD","",""
107,"Lenovo","Notebook",15.6,"Full HD 1920x1080","Intel Core i3 6006U 2GHz",4,"1TB HDD","Intel HD Graphics 520","Windows 10",1.85,22105.872,2.0,"","1TB HDD",""
108,"Asus","Ultrabook",14.0,"IPS Panel Full HD 1920x1080","Intel Core i7 7500U 2.7GHz",8,"256GB SSD","Nvidia GeForce 940MX","Windows 10",1.3,63563.04,2.7,"256GB SSD","",""
109,"MSI","Gaming",15.6,"Full HD 1920x1080","Intel Core i7 7700HQ 2.8GHz",16,"256GB SSD +  1TB HDD","Nvidia GeForce GTX 1050 Ti","Windows 10",2.2,69210.72,2.8,"256GB SSD","1TB HDD",""
110,"Lenovo","Notebook",14.0,"IPS Panel Full HD 1920x1080","Intel Core i7 7500U 2.7GHz",8,"256GB SSD","Intel HD Graphics 620","Windows 10",1.58,78854.4,2.7,"256GB SSD","",""
111,"Asus","Ultrabook",15.6,"Full HD 1920x1080","Intel Core i7 8550U 1.8GHz",16,"256GB SSD +  1TB HDD","Nvidia GeForce MX150","Windows 10",1.5,67239.36,1.8,"256GB SSD","1TB HDD",""
112,"Dell","Ultrabook",13.3,"Quad HD+ / Touchscreen 3200x1800","Intel Core i7 7560U 2.4GHz",8,"256GB SSD","Intel Iris Plus Graphics 640","Windows 10",1.23,73473.12,2.4,"256GB SSD","",""
113,"Lenovo","2 in 1 Convertible",13.3,"IPS Panel Full HD / Touchscreen 1920x1080","Intel Core i5 7200U 2.5GHz",8,"256GB SSD","Intel HD Graphics 620","Windows 10",1.37,74538.72,2.5,"256GB SSD","",""
114,"HP","Notebook",14.0,"IPS Panel 1366x768","Intel Core i5 8250U 1.6GHz",4,"500GB HDD","Intel UHD Graphics 620","Windows 10",1.63,38468.16,1.6,"","500GB HDD",""
115,"Dell","Ultrabook",13.3,"IPS Panel Full HD 1920x1080","Intel Core i5 8250U 1.6GHz",8,"256GB SSD","Intel UHD Graphics 620","Windows 10",1.21,86793.12,1.6,"256GB SSD","",""
117,"HP","Notebook",14.0,"Full HD 1920x1080","Intel Core i7 8550U 1.8GHz",8,"512GB SSD","Intel UHD Graphics 620","Windows 10",1.63,57755.52,1.8,"512GB SSD","",""
118,"Dell","Notebook",15.6,"IPS Panel Full HD 1920x1080","Intel Core i7 8550U 1.8GHz",8,"256GB SSD +  1TB HDD","Nvidia GeForce 940MX","Windows 10",2.16,60223.9824,1.8,"256GB SSD","1TB HDD",""
119,"Asus","Notebook",17.3,"Full HD 1920x1080","Intel Core i3 6006U 2GHz",4,"1TB HDD","Nvidia GeForce 920MX","Windows 10",2.0,30049.92,2.0,"","1TB HDD",""
120,"Asus","Notebook",15.6,"Full HD 1920x1080","Intel Core i7 8550U 1.8GHz",8,"256GB SSD","Nvidia GeForce 940MX","Windows 10",1.7,59567.04,1.8,"256GB SSD","",""
121,"Acer","Notebook",15.6,"IPS Panel Full HD / Touchscreen 1920x1080","Intel Core i3 7100U 2.4GHz",6,"1TB HDD","Intel HD Graphics 620","Windows 10",2.1,25521.12,2.4,"","1TB HDD",""
122,"MSI","Gaming",15.6,"Full HD 1920x1080","Intel Core i7 7700HQ 2.8GHz",16,"256GB SSD +  2TB HDD","Nvidia GeForce GTX 1070","Windows 10",1.8,119427.12,2.8,"256GB SSD","2TB HDD",""
123,"Lenovo","Notebook",15.6,"Full HD 1920x1080","Intel Core i5 7200U 2.5GHz",8,"256GB SSD","Nvidia GeForce 940MX","",2.2,33513.12,2.5,"256GB SSD","",""
124,"HP","Notebook",17.3,"Full HD 1920x1080","Intel Core i7 8550U 1.8GHz",16,"512GB SSD","Nvidia GeForce 930MX ","Windows 10",2.5,67718.88,1.8,"512GB SSD","",""
125,"Acer","Notebook",15.6,"1366x768","AMD A9-Series 9420 3GHz",4,"256GB SSD","AMD Radeon R5","Windows 10",2.1,24029.28,3.0,"256GB SSD","",""
127,"HP","Notebook",14.0,"Full HD 1920x1080","Intel Core i5 8250U 1.6GHz",8,"1TB HDD","Intel UHD Graphics 620","Windows 10",1.63,43263.36,1.6,"","1TB HDD",""
128,"Asus","Notebook",14.0,"1366x768","AMD E-Series 6110 1.5GHz",4,"64GB SSD","AMD Radeon R2","Windows 10 S",1.65,14811.3072,1.5,"64GB SSD","",""
129,"Dell","Notebook",17.3,"Full HD 1920x1080","Intel Core i7 8550U 1.8GHz",16,"256GB SSD +  2TB HDD","AMD Radeon 530","Windows 10",2.8,74378.88,1.8,"256GB SSD","2TB HDD",""
130,"HP","Notebook",17.3,"Full HD 1920x1080","Intel Core i5 8250U 1.6GHz",8,"256GB SSD","Intel UHD Graphics 620","Windows 10",2.5,49443.84,1.6,"256GB SSD","",""
131,"Dell","Notebook",15.6,"1366x768","Intel Core i5 7200U 2.5GHz",8,"1TB HDD","AMD Radeon R7 M445","Windows 10",2.36,34045.3872,2.5,"","1TB HDD",""
132,"Dell","Notebook",15.6,"Full HD 1920x1080","Intel Core i3 6006U 2GHz",4,"1TB HDD","AMD Radeon R5 M430","Windows 10",2.2,23922.72,2.0,"","1TB HDD",""
133,"Acer","Ultrabook",14.0,"IPS Panel Full HD 1920x1080","Intel Core i7 8550U 1.8GHz",8,"256GB SSD","Intel UHD Graphics 620","Windows 10",1.6,47099.52,1.8,"256GB SSD","",""
134,"Acer","Notebook",15.6,"Full HD 1920x1080","Intel Core i3 7130U 2.7GHz",4,"256GB SSD","Nvidia GeForce MX130","Windows 10",7.2,30476.16,2.7,"256GB SSD","",""
135,"HP","Notebook",15.6,"1366x768","Intel Core i7 7500U 2.7GHz",8,"1TB HDD","Intel HD Graphics 620","Windows 10",2.05,31861.44,2.7,"","1TB HDD",""
136,"HP","Notebook",14.0,"Full HD 1920x1080","Intel Core i7 8550U 1.8GHz",8,"256GB SSD","Intel UHD Graphics 620","Windows 10",1.63,52640.64,1.8,"256GB SSD","",""
137,"Lenovo","Notebook",15.6,"1366x768","Intel Celeron Dual Core N3350 1.1GHz",4,"1TB HDD","Intel HD Graphics 500","",1.9,13445.7408,1.1,"","1TB HDD",""
138,"Asus","Gaming",17.3,"Full HD 1920x1080","Intel Core i5 7300HQ 2.5GHz",8,"128GB SSD +  1TB HDD","Nvidia GeForce GTX 1050","Windows 10",3.0,49976.64,2.5,"128GB SSD","1TB HDD",""
